,name,success_rate2.0
67,Мониторинг содержания контейнерных площадок,1.0
230,Фиксация содержания бортового камня,1.0
66,Марафон заданий,1.0
18,Детекция объектов,1.0
229,Фиксация содержания асфальтобетонного покрытия,1.0
259,Чистый город,0.99
30,Квест «Экономика Москвы»:  Викторина на тему: «Инвестиционная грамотность»,0.98
160,Прохождение профтестирования,0.97
223,Участие в тематическом опросе,0.97
238,Финансовый вернисаж,0.95
183,Состояние пунктов приема ёлок,0.94
180,Симулятор старости,0.93
6,Ваше первое задание,0.92
203,Тестирование процесса проведения опроса  о социальном развитии города Москвы,0.92
32,Квест «Экономика Москвы»: Викторина на тему: «Экономика Москвы»,0.91
105,"Популяризация мероприятий, проводимых  в рамках Московского урбанистического форума-2023",0.91
182,Состояние пунктов приема елок,0.91
1,Адресная привязка голосований проекта «Активный гражданин»,0.91
5,В компании роботов,0.91
191,Съемка видеоролика о Москве в номинации «Город для жизни»,0.9
144,Проверить состояние объекта зимнего отдыха,0.89
153,Прохождение квеста в Музее городского хозяйства Москвы,0.89
10,Викторина по достопримечательностям Москвы,0.89
14,Выявление территории со спортивными объектами,0.89
42,Квест «Экономика Москвы»: Посети фотовыставку о Зелёных облигациях в Сиреневому саду,0.89
69,Московский спорт,0.88
245,Фотосъемка выставки,0.87
208,Тестирование чат-бота ,0.87
75,Найти самый пугающий арт-объект в Музее вредных привычек,0.87
4,Буккроссинг в городе Москве,0.86
97,Поиск пунктов приема батареек ,0.86
21,Забронируйте книгу из подборки в московских библиотеках,0.86
204,Тестирование сайта ГБУ «Малый бизнес Москвы»,0.85
202,Тестирование приложения «Метро Москвы»,0.85
53,Квест «Экономика Москвы»: Пройтись по Старому Английскому двору,0.84
152,Пройти экспресс-исследование на определение темпа старения своего организма,0.84
111,Популяризация проекта «Сделано в Москве»,0.84
104,"Популяризация мероприятий, проводимых  Центрами московского долголетия",0.84
167,Рассказ о любимом парке «Покровский берег»,0.83
84,Оптимальный маршрут до павильона Московского транспорта,0.83
263,Экскурсия в Павильон Московского транспорта,0.82
106,"Популяризация мероприятий, проводимых МГУУ",0.82
100,Попробовать себя в роли диспетчера скорой помощи,0.81
71,Наблюдение за кровлями,0.81
234,Фиксация состояния подземных пешеходных переходов,0.81
44,Квест «Экономика Москвы»: Посетить аллею сказочных героев в Лианозовском парке,0.81
248,Фотосъемка и (или) видеосъемка рекламного щита,0.81
212,Участвуйте в квесте «ЛЮБИМАЯ МОЯ МОСКВА» ,0.81
37,Квест «Экономика Москвы»: Посети зелёный лабиринт на территории Детского парка им. Прямикова,0.8
172,Регистрация на платформе МИК,0.8
74,Найдите стикер проекта «Потерялся? Не уходи!» ,0.8
213,Участие в акции по сбору гуманитарной помощи штабов «Москва Помогает»,0.8
157,Прохождение мастер-класса на фестивале «День молодежи»,0.8
150,Пройти викторину,0.79
260,Экоквест «Дерево знаний»,0.79
92,Поиск новых маршрутов в метро под музыку,0.79
198,Тестирование мобильного приложения «Московский спорт»,0.79
132,Посещение павильона «Цифровые технологии Москвы»,0.79
85,"Оценка состояния изданий, входящих в состав библиотечного фонда",0.78
50,Квест «Экономика Москвы»: Прогулка по Музеону,0.78
102,Популяризация благоустроенных мест Москвы,0.78
143,Проверить качество содержания объекта монументально-декоративного искусства,0.78
178,Сдача батареек в пункты приема г. Москвы,0.78
93,Поиск новых маршрутов с использованием речного транспорта,0.77
59,Квиз в приложении,0.77
54,Квест «Экономика Москвы»: Прокатись на Электробусе по маршруту «М2»,0.77
31,Квест «Экономика Москвы»: 6 сентября посети открытую лекцию «Женский диалог. Личные финансы и инвестиции: как заставить деньги работать?» ,0.77
211,Узнайте про самый столичный Москвич,0.77
40,Квест «Экономика Москвы»: Посети станцию метро Римская,0.77
38,Квест «Экономика Москвы»: Посети памятник Александру Пушкину и Наталье Гончаровой,0.77
16,День флага России,0.76
70,На фестиваль «Путешествие в Рождество» вместе с приложением «Московский транспорт»,0.76
87,Подтверждение (или опровержение) устранения проблемы по сообщению на портале «Наш город»,0.76
107,Популяризация отдыха на природе,0.76
236,Финансовое здоровье москвича,0.76
177,Сдайте елку в пункт приема,0.75
45,Квест «Экономика Москвы»: Посетить памятник паровозу у стадиона РЖД-Арена,0.75
83,Онлайн-викторина по станциям БКЛ,0.75
114,Посетите «Музей транспорта»,0.75
134,Посещение танцевальной тренировки,0.75
216,Участие в квесте «Дерево знаний»,0.74
80,Обследование территории ,0.74
55,Квест «Экономика Москвы»: Прокатись на метро (Чеховская),0.74
247,Фотосъемка достопримечательностей в городе Москве,0.74
250,Фотосъемка ландшафтного аттракциона «Лента Мебиуса»,0.74
96,Поиск пунктов приема батареек,0.73
24,Зимняя сказка,0.73
47,Квест «Экономика Москвы»: Проверка знаний о зеленых облигациях Москвы для населения,0.73
115,Посетите выставку «Станция Манеж»,0.73
58,Квест «Экономика Москвы»: Прокатись на электробусе по маршруту «М3»,0.73
188,Сфотографируйте станцию МЦД,0.73
77,Нарисовать картину с помощью движений,0.73
159,Прохождение опроса по знанию выставки,0.73
154,Прохождение квиза в приложении «Узнай Москву»,0.73
36,Квест «Экономика Москвы»: Посети Стенд «Экономики Москвы» в Зарядье,0.73
145,"Проверить, что элемент благоустройства в надлежащем состоянии (тип 1)",0.73
43,Квест «Экономика Москвы»: Посетить Памятник Льву Яшину рядом со стадионом «ВТБ Арена» (бывший стадион «Динамо»),0.73
185,Сфотографировать QR-таблички,0.72
219,Участие в проекте «ВРаботе» на фестивале «День молодежи»,0.72
232,Фиксация состояния объекта городского хозяйства,0.72
99,Получение рекомендаций в павильонах «Здоровая Москва»,0.72
136,Посещение тренировки ГТО в парках,0.71
197,Тестирование мобильного приложения «Мой id»,0.71
146,"Проверить, что элемент благоустройства в надлежащем состоянии (тип 2)",0.71
103,Популяризация жизни районов,0.71
11,Время с финансами и киногероями,0.71
25,Знаковые объекты культурного наследия района Покровское-Стрешнево,0.7
255,Фотосъемка района Некрасовка,0.7
72,Наблюдение за новогодним оформлением/декоративным ограждением,0.7
29,Изучите стенд «Московского транспорта»,0.7
175,Сбор координат объектов,0.7
217,Участие в мероприятии ГБУ «Мосволонтер»,0.7
127,Посетите экспозицию «Депо»,0.7
256,Фотосъемка рекламной конструкции,0.7
41,Квест «Экономика Москвы»: Посети фотовыставку о Зелёных облигациях в Измайловском парке,0.7
261,Экометодичка: секреты грамотной утилизации,0.7
192,Съемка видеоролика о Москве в номинации «Моя Москва»,0.69
95,Поиск пунктов буккроссинга,0.69
57,Квест «Экономика Москвы»: Прокатись на электробусе по маршруту «Б»,0.69
89,Подтверждение факта демонтажа объекта,0.69
135,Посещение тренировки,0.69
19,Дискуссия с участием Константина Хабенского.,0.69
206,Тестирование формирования предложения на платформе МИК,0.69
158,Прохождение онлайн-квиза в проекте «Сервис аренды электросамокатов»,0.68
56,Квест «Экономика Москвы»: Прокатись на метро и ознакомься с сувенирной продукцией от метрополитена,0.68
61,Киноман в городе,0.67
76,Напишите рассказ о любимом парке «Усадьба Воронцово»,0.67
23,Зимние забавы,0.67
168,Рассказ о любимом парке «Северное Тушино»,0.67
149,Пройдите игру и ознакомьтесь с сервисом «Переезд в Москве»,0.67
201,Тестирование портала,0.67
193,Съемка видеоролика о Москве в номинации «Ритмы столицы»,0.67
190,Съемка видеоролика о Москве в номинации «Гений места»,0.67
221,Участие в проекте «Стены» на фестивале «День молодежи»,0.67
179,Сделайте фотографию электросудна в движении,0.67
131,Посещение павильона «Умный город»,0.66
33,Квест «Экономика Москвы»: Доехать на электробусе до МУФ,0.65
215,Участие в квесте «ДеБаттл» на фестивале «День молодежи» ,0.65
147,Проверка знаний о капитальном ремонте,0.65
170,Рассказ о своем районе,0.64
151,Пройти профтестирование в Капсуле профессий,0.64
257,Фотосъемка фасадов домов,0.64
48,Квест «Экономика Москвы»: Прогулка в саду Эрмитаж,0.64
34,Квест «Экономика Москвы»: Посети Город будущего в Гостином дворе,0.64
155,Прохождение маршрута  «На поиски волшебства» ,0.63
224,Участие в тренировке по подготовке к выполнению ГТО в парках,0.63
243,Фотосъемка в парках,0.63
235,Фиксация состояния шлагбаумов,0.63
0,«Популяризация отдыха» Парк Царицыно,0.63
130,Посещение мероприятия,0.63
78,Начало миссии: первая встреча,0.63
139,Привязка карты «Тройка» к профилю в приложении «Московский транспорт»,0.63
68,Москва сквозь время,0.62
108,Популяризация программы «Играй в Москву!»,0.62
128,Посещение Фестиваля финансовой грамотности и предпринимательской культуры,0.62
28,Изучите проект железнодорожного тоннеля D5,0.61
86,Повышение знаний в области содействия занятости населения,0.61
231,Фиксация состояния «граффити»,0.61
49,Квест «Экономика Москвы»: Прогулка на речном трамвайчике,0.6
65,Лучшие виды округа,0.6
205,Тестирование технологии оплаты по биометрии в метро Москвы,0.6
98,Получение рекомендаций в «Уголке здоровья»,0.6
35,Квест «Экономика Москвы»: Посети Памятник В.И.Ленину в «Лужниках»,0.6
64,Ловите «Татру Т3»,0.6
209,Тренировка на площадке «Русский ниндзя»,0.6
189,Съемка видеоролика о Москве в номинации «Бег времени»,0.6
166,Рассказ о любимом парке «Левобережный»,0.6
22,Заполнение профиля в приложении «Московский транспорт»,0.6
187,Сфотографируйте «парящие» мосты Москвы,0.6
214,Участие в викторине,0.6
174,Сбор данных о местах размещения вывесок,0.59
249,Фотосъемка информационных табличек,0.59
138,Посещение экомастерской на фестивале «День молодежи»,0.59
51,Квест «Экономика Москвы»: Прогулка по парку «Ходынское поле»,0.59
62,Книга памятников-героев Москвы,0.59
156,Прохождение маршрута «Большой турнир воображения»,0.59
118,Посетите экскурсию по ПАО «Россети Московский регион»,0.59
207,Тестирование чат-бота,0.58
39,Квест «Экономика Москвы»: Посети парк-усадьбу Кусково,0.58
186,"Сфотографировать здания, сооружения, объекты",0.58
60,Квизы в приложении,0.58
220,Участие в проекте «Город героев Москвы» на фестивале «День молодежи» ,0.58
81,Обследование тротуаров и водоотводов,0.57
90,Поездка на электровелосипедах 2.0 сервиса «Велобайк»,0.57
233,Фиксация состояния опор двойного назначения,0.57
112,Популяризация театра,0.57
226,Участие в чемпионате по прыжкам через резинку на фестивале «День молодежи»,0.56
133,Посещение сайта «Рули»,0.55
258,Фотосъемка физкультурно-спортивных объектов в городе Москве,0.55
210,Угадай мелодию,0.54
26,Знакомство с выставкой мегапроектов Москвы  ,0.54
52,Квест «Экономика Москвы»: Прогулка по экологической тропе на Воробьевых горах,0.54
2,Актуализация архивных фотографий,0.52
73,Наблюдение за работами по благоустройству,0.52
251,Фотосъемка на катке в парках Москвы,0.52
176,Светлое Рождество,0.52
